"tender_id";"tenderMain_id";"weight";"hide";"createTime"
"3898966";"3887152";"666";"1";"0000-00-00 00:00:00"
"3971438";"3948516";"666";"1";"0000-00-00 00:00:00"
"4963650";"4921414";"666";"1";"0000-00-00 00:00:00"
"6161222";"6123211";"666";"1";"0000-00-00 00:00:00"
"6168024";"6120782";"666";"1";"0000-00-00 00:00:00"
"6783633";"6709537";"666";"1";"0000-00-00 00:00:00"
"6795369";"6720296";"666";"1";"0000-00-00 00:00:00"
"7041555";"6963147";"666";"1";"0000-00-00 00:00:00"
"7150502";"7111863";"666";"1";"0000-00-00 00:00:00"
"7366750";"7343329";"666";"1";"0000-00-00 00:00:00"
"7439384";"7426893";"666";"1";"0000-00-00 00:00:00"
"7460925";"7426893";"666";"1";"0000-00-00 00:00:00"
"7650738";"7623540";"666";"1";"0000-00-00 00:00:00"
"7687554";"7674328";"666";"1";"0000-00-00 00:00:00"
"7806474";"7787954";"666";"1";"0000-00-00 00:00:00"
"7876676";"7866430";"666";"1";"0000-00-00 00:00:00"
"8200306";"8187364";"666";"1";"0000-00-00 00:00:00"
"8305124";"8290717";"666";"1";"0000-00-00 00:00:00"
"8311458";"8255249";"666";"1";"0000-00-00 00:00:00"
"8351770";"8339903";"666";"1";"0000-00-00 00:00:00"
"8364874";"8318529";"666";"1";"0000-00-00 00:00:00"
"8365569";"8318529";"666";"1";"0000-00-00 00:00:00"
"8579127";"8544286";"666";"1";"0000-00-00 00:00:00"
"8594450";"8576648";"666";"1";"0000-00-00 00:00:00"
"8594451";"8576313";"666";"1";"0000-00-00 00:00:00"
"8620161";"8581798";"666";"1";"0000-00-00 00:00:00"
"8790179";"8735410";"666";"1";"0000-00-00 00:00:00"
"8835036";"8821447";"666";"1";"0000-00-00 00:00:00"
"9010904";"8996601";"666";"1";"0000-00-00 00:00:00"
"9047812";"9015754";"666";"1";"0000-00-00 00:00:00"
"9162462";"9096798";"666";"1";"0000-00-00 00:00:00"
"9238900";"9195607";"666";"1";"0000-00-00 00:00:00"
"9398781";"9330500";"666";"1";"0000-00-00 00:00:00"
"9579563";"9562604";"666";"1";"0000-00-00 00:00:00"
"9648724";"9619617";"666";"1";"0000-00-00 00:00:00"
"9818604";"9785012";"666";"1";"0000-00-00 00:00:00"
"9874788";"9808401";"666";"1";"0000-00-00 00:00:00"
"9937047";"9921686";"666";"1";"0000-00-00 00:00:00"
"10017859";"10015574";"666";"1";"0000-00-00 00:00:00"
"10070420";"10062239";"666";"1";"0000-00-00 00:00:00"
"10154629";"10147744";"666";"1";"0000-00-00 00:00:00"
"10195815";"10189281";"666";"1";"0000-00-00 00:00:00"
"10195816";"10189282";"666";"1";"0000-00-00 00:00:00"
"10201796";"10189284";"666";"1";"0000-00-00 00:00:00"
"10201797";"10189285";"666";"1";"0000-00-00 00:00:00"
"10201799";"10189287";"666";"1";"0000-00-00 00:00:00"
"10202794";"10189353";"666";"1";"0000-00-00 00:00:00"
"10204751";"10189289";"666";"1";"0000-00-00 00:00:00"
"10204752";"10189291";"666";"1";"0000-00-00 00:00:00"
"10350343";"10306853";"666";"1";"0000-00-00 00:00:00"
"10376532";"10276356";"666";"1";"0000-00-00 00:00:00"
"10448747";"10417235";"666";"1";"0000-00-00 00:00:00"
"10534847";"10479260";"666";"1";"0000-00-00 00:00:00"
"10534849";"10479222";"666";"1";"0000-00-00 00:00:00"
"10542551";"10516068";"666";"1";"0000-00-00 00:00:00"
"10661096";"10622982";"666";"1";"0000-00-00 00:00:00"
"10720277";"10701310";"666";"1";"0000-00-00 00:00:00"
"10902271";"10846731";"666";"1";"0000-00-00 00:00:00"
"10974122";"10946202";"666";"1";"0000-00-00 00:00:00"
"11025127";"11024019";"666";"1";"0000-00-00 00:00:00"
"11052430";"11038116";"666";"1";"0000-00-00 00:00:00"
"11142668";"11112795";"666";"1";"0000-00-00 00:00:00"
"11342800";"11316660";"666";"1";"0000-00-00 00:00:00"
"11397831";"11385991";"666";"1";"0000-00-00 00:00:00"
"11401040";"11377977";"666";"1";"0000-00-00 00:00:00"
"11401043";"11377987";"666";"1";"0000-00-00 00:00:00"
"11407062";"11403158";"666";"1";"0000-00-00 00:00:00"
"11418121";"11377987";"666";"1";"0000-00-00 00:00:00"
"11418129";"11369574";"666";"1";"0000-00-00 00:00:00"
"11420309";"11401431";"666";"1";"0000-00-00 00:00:00"
"11420843";"11377990";"666";"1";"0000-00-00 00:00:00"
"11422843";"11377977";"666";"1";"0000-00-00 00:00:00"
"11422851";"11369591";"666";"1";"0000-00-00 00:00:00"
"11422854";"11369600";"666";"1";"0000-00-00 00:00:00"
"11422855";"11369601";"666";"1";"0000-00-00 00:00:00"
"11497146";"11479891";"666";"1";"0000-00-00 00:00:00"
"11660881";"11651047";"666";"1";"0000-00-00 00:00:00"
"11797894";"11784201";"666";"1";"0000-00-00 00:00:00"
"12023401";"11989197";"666";"1";"0000-00-00 00:00:00"
"12101486";"12076759";"666";"1";"0000-00-00 00:00:00"
"12131457";"12114637";"666";"1";"0000-00-00 00:00:00"
"12234290";"12164605";"666";"1";"0000-00-00 00:00:00"
"12292112";"12284892";"666";"1";"0000-00-00 00:00:00"
"12416145";"12361033";"666";"1";"0000-00-00 00:00:00"
"12439604";"12401279";"666";"1";"0000-00-00 00:00:00"
"12440143";"12391575";"666";"1";"0000-00-00 00:00:00"
"12524371";"12484526";"666";"1";"0000-00-00 00:00:00"
"12541968";"12525793";"666";"1";"0000-00-00 00:00:00"
"12555536";"12499495";"666";"1";"0000-00-00 00:00:00"
"12620464";"12620388";"666";"1";"0000-00-00 00:00:00"
"12769136";"12714041";"666";"1";"0000-00-00 00:00:00"
"12769137";"12714042";"666";"1";"0000-00-00 00:00:00"
"12770020";"12764403";"666";"1";"0000-00-00 00:00:00"
"12772757";"12706090";"666";"1";"0000-00-00 00:00:00"
"12955651";"12909453";"666";"1";"0000-00-00 00:00:00"
"12976184";"12969853";"666";"1";"0000-00-00 00:00:00"
"12987872";"12969853";"666";"1";"0000-00-00 00:00:00"
"13023695";"13017258";"666";"1";"0000-00-00 00:00:00"
"13072747";"12972082";"666";"1";"0000-00-00 00:00:00"
"13092687";"12945062";"666";"1";"0000-00-00 00:00:00"
"13128594";"13067515";"666";"1";"0000-00-00 00:00:00"
"13147472";"12960749";"666";"1";"0000-00-00 00:00:00"
"13164205";"13064515";"666";"1";"0000-00-00 00:00:00"
"13164229";"12974633";"666";"1";"0000-00-00 00:00:00"
"13164230";"12976515";"666";"1";"0000-00-00 00:00:00"
"13164231";"13033876";"666";"1";"0000-00-00 00:00:00"
"13164232";"13033427";"666";"1";"0000-00-00 00:00:00"
"13185736";"13092607";"666";"1";"0000-00-00 00:00:00"
"13185748";"13066358";"666";"1";"0000-00-00 00:00:00"
"13185749";"13066359";"666";"1";"0000-00-00 00:00:00"
"13185750";"13066364";"666";"1";"0000-00-00 00:00:00"
"13193977";"13179337";"666";"1";"0000-00-00 00:00:00"
"13198944";"13054491";"666";"1";"0000-00-00 00:00:00"
"13198945";"13054495";"666";"1";"0000-00-00 00:00:00"
"13203822";"12988436";"666";"1";"0000-00-00 00:00:00"
"13205049";"13193615";"666";"1";"0000-00-00 00:00:00"
"13216584";"12988436";"666";"1";"0000-00-00 00:00:00"
"13225165";"13143276";"666";"1";"0000-00-00 00:00:00"
"13230080";"13033876";"666";"1";"0000-00-00 00:00:00"
"13230081";"13033427";"666";"1";"0000-00-00 00:00:00"
"13233019";"12960749";"666";"1";"0000-00-00 00:00:00"
"13237743";"13154956";"666";"1";"0000-00-00 00:00:00"
"13245670";"13092607";"666";"1";"0000-00-00 00:00:00"
"13249333";"13218132";"666";"1";"0000-00-00 00:00:00"
"13251727";"13216343";"666";"1";"0000-00-00 00:00:00"
"13251935";"12977580";"666";"1";"0000-00-00 00:00:00"
"13263741";"13084605";"666";"1";"0000-00-00 00:00:00"
"13264653";"13084604";"666";"1";"0000-00-00 00:00:00"
"13303560";"13220626";"666";"1";"0000-00-00 00:00:00"
"13309813";"13106171";"666";"1";"0000-00-00 00:00:00"
"13313261";"13270354";"666";"1";"0000-00-00 00:00:00"
"13331161";"13183617";"666";"1";"0000-00-00 00:00:00"
"13331275";"13189949";"666";"1";"0000-00-00 00:00:00"
"13331276";"13187038";"666";"1";"0000-00-00 00:00:00"
"13331523";"13188341";"666";"1";"0000-00-00 00:00:00"
"13369106";"13309893";"666";"1";"0000-00-00 00:00:00"
"13388740";"13251824";"666";"1";"0000-00-00 00:00:00"
"13433610";"13416606";"666";"1";"0000-00-00 00:00:00"
"13518353";"13497043";"666";"1";"0000-00-00 00:00:00"
"13538632";"13321663";"666";"1";"0000-00-00 00:00:00"
"13538845";"13274242";"666";"1";"0000-00-00 00:00:00"
"13595810";"13536204";"666";"1";"0000-00-00 00:00:00"
"13595811";"13536225";"666";"1";"0000-00-00 00:00:00"
"13611268";"12610802";"666";"1";"0000-00-00 00:00:00"
"13632594";"13464015";"666";"1";"0000-00-00 00:00:00"
"13638910";"13588794";"666";"1";"0000-00-00 00:00:00"
"13666778";"13092607";"666";"1";"0000-00-00 00:00:00"
"13685737";"13606394";"666";"1";"0000-00-00 00:00:00"
"13690689";"12610802";"666";"1";"0000-00-00 00:00:00"
"13692162";"13681063";"666";"1";"0000-00-00 00:00:00"
"13694262";"12610802";"666";"1";"0000-00-00 00:00:00"
"13777582";"13694418";"666";"1";"0000-00-00 00:00:00"
"13782929";"12610802";"666";"1";"0000-00-00 00:00:00"
"13817620";"13774832";"666";"1";"0000-00-00 00:00:00"
"13829174";"13704063";"666";"1";"0000-00-00 00:00:00"
"13843435";"13815592";"666";"1";"0000-00-00 00:00:00"
"13843436";"13811954";"666";"1";"0000-00-00 00:00:00"
"13843438";"13796631";"666";"1";"0000-00-00 00:00:00"
"13905947";"13809112";"666";"1";"0000-00-00 00:00:00"
"13912494";"13524966";"666";"1";"0000-00-00 00:00:00"
"14010936";"14005726";"666";"1";"0000-00-00 00:00:00"
"14016406";"13799179";"666";"1";"0000-00-00 00:00:00"
"14031756";"14018015";"666";"1";"0000-00-00 00:00:00"
"14127347";"14121690";"666";"1";"0000-00-00 00:00:00"
"14127393";"13945412";"666";"1";"0000-00-00 00:00:00"
"14129770";"14053872";"666";"1";"0000-00-00 00:00:00"
"14142220";"13906340";"666";"1";"0000-00-00 00:00:00"
"14181422";"14169982";"666";"1";"0000-00-00 00:00:00"
"14227210";"14050919";"666";"1";"0000-00-00 00:00:00"
"14245232";"14217163";"666";"1";"0000-00-00 00:00:00"
"14249878";"14169982";"666";"1";"0000-00-00 00:00:00"
"14292586";"14142279";"666";"1";"0000-00-00 00:00:00"
"14313651";"14240720";"666";"1";"0000-00-00 00:00:00"
"14315928";"14133011";"666";"1";"0000-00-00 00:00:00"
"14332541";"13321663";"666";"1";"0000-00-00 00:00:00"
"14377656";"14311048";"666";"1";"0000-00-00 00:00:00"
"14393594";"14164569";"666";"1";"0000-00-00 00:00:00"
"14416433";"14332274";"666";"1";"0000-00-00 00:00:00"
"14423109";"14355714";"666";"1";"0000-00-00 00:00:00"
"14429434";"14420289";"666";"1";"0000-00-00 00:00:00"
"14447135";"14355714";"666";"1";"0000-00-00 00:00:00"
"14538486";"14453750";"666";"1";"0000-00-00 00:00:00"
"14558833";"14164569";"666";"1";"0000-00-00 00:00:00"
"14575293";"14311048";"666";"1";"0000-00-00 00:00:00"
"14586502";"14164569";"666";"1";"0000-00-00 00:00:00"
"14673019";"14603117";"666";"1";"0000-00-00 00:00:00"
"14675749";"14667973";"666";"1";"0000-00-00 00:00:00"
"14722730";"14510197";"666";"1";"0000-00-00 00:00:00"
"14742208";"14686202";"666";"1";"0000-00-00 00:00:00"
"14754264";"14620329";"666";"1";"0000-00-00 00:00:00"
"14762406";"14591367";"666";"1";"0000-00-00 00:00:00"
"14770830";"14691640";"666";"1";"0000-00-00 00:00:00"
"14937771";"14903813";"666";"1";"0000-00-00 00:00:00"
"14941308";"14915043";"666";"1";"0000-00-00 00:00:00"
"14950094";"14831571";"666";"1";"0000-00-00 00:00:00"
"14954858";"14689918";"666";"1";"0000-00-00 00:00:00"
"14956433";"14689288";"666";"1";"0000-00-00 00:00:00"
"14956437";"14689290";"666";"1";"0000-00-00 00:00:00"
"14975505";"14689952";"666";"1";"0000-00-00 00:00:00"
"14988229";"14920408";"666";"1";"0000-00-00 00:00:00"
"14988231";"14903813";"666";"1";"0000-00-00 00:00:00"
"15013920";"14728528";"666";"1";"0000-00-00 00:00:00"
"15013922";"14728531";"666";"1";"0000-00-00 00:00:00"
"15027437";"14728528";"666";"1";"0000-00-00 00:00:00"
"15027439";"14728531";"666";"1";"0000-00-00 00:00:00"
"15037333";"15031211";"666";"1";"0000-00-00 00:00:00"
"15108450";"14591367";"666";"1";"0000-00-00 00:00:00"
"15119066";"14762337";"666";"1";"0000-00-00 00:00:00"
"15120358";"15107817";"666";"1";"0000-00-00 00:00:00"
"15137025";"14728528";"666";"1";"0000-00-00 00:00:00"
"15137029";"14728531";"666";"1";"0000-00-00 00:00:00"
"15176117";"14746771";"666";"1";"0000-00-00 00:00:00"
"15200501";"14745812";"666";"1";"0000-00-00 00:00:00"
"15200509";"14689952";"666";"1";"0000-00-00 00:00:00"
"15200520";"14689918";"666";"1";"0000-00-00 00:00:00"
"15200529";"14689288";"666";"1";"0000-00-00 00:00:00"
"15200530";"14689290";"666";"1";"0000-00-00 00:00:00"
"15223325";"14776961";"666";"1";"0000-00-00 00:00:00"
"15296023";"14831571";"666";"1";"0000-00-00 00:00:00"
"15333211";"14762337";"666";"1";"0000-00-00 00:00:00"
"15375060";"15347798";"666";"1";"0000-00-00 00:00:00"
"15400934";"14745812";"666";"1";"0000-00-00 00:00:00"
"15402768";"14689952";"666";"1";"0000-00-00 00:00:00"
"16028649";"14762337";"666";"1";"0000-00-00 00:00:00"
"16069240";"14689952";"666";"1";"0000-00-00 00:00:00"
"16083973";"15230979";"666";"1";"0000-00-00 00:00:00"
"16097225";"16042013";"666";"1";"0000-00-00 00:00:00"
"16097227";"16035135";"666";"1";"0000-00-00 00:00:00"
"16110388";"15350670";"666";"1";"0000-00-00 00:00:00"
"16126052";"15433877";"666";"1";"0000-00-00 00:00:00"
"16128678";"16045588";"666";"1";"0000-00-00 00:00:00"
"16141622";"16120089";"666";"1";"0000-00-00 00:00:00"
"16169552";"16090943";"666";"1";"0000-00-00 00:00:00"
"16176461";"15338772";"666";"1";"0000-00-00 00:00:00"
"16182021";"16045588";"666";"1";"0000-00-00 00:00:00"
"16183039";"16045588";"666";"1";"0000-00-00 00:00:00"
"16185403";"16120089";"666";"1";"0000-00-00 00:00:00"
"16188442";"16116364";"666";"1";"0000-00-00 00:00:00"
"16291797";"16116088";"666";"1";"0000-00-00 00:00:00"
"16295324";"16130481";"666";"1";"0000-00-00 00:00:00"
"16295326";"16094096";"666";"1";"0000-00-00 00:00:00"
"16295369";"16090924";"666";"1";"0000-00-00 00:00:00"
"16295371";"16042013";"666";"1";"0000-00-00 00:00:00"
"16295372";"16035135";"666";"1";"0000-00-00 00:00:00"
"16304684";"14728528";"666";"1";"0000-00-00 00:00:00"
"16304697";"14728531";"666";"1";"0000-00-00 00:00:00"
"16308718";"16094096";"666";"1";"0000-00-00 00:00:00"
"16345534";"14728528";"666";"1";"0000-00-00 00:00:00"
"16345535";"14728531";"666";"1";"0000-00-00 00:00:00"
"16376686";"16116088";"666";"1";"0000-00-00 00:00:00"
"16378386";"16294624";"666";"1";"0000-00-00 00:00:00"
"16447631";"16116088";"666";"1";"0000-00-00 00:00:00"
"16447632";"16094096";"666";"1";"0000-00-00 00:00:00"
"16448509";"16090924";"666";"1";"0000-00-00 00:00:00"
"16448662";"16377223";"666";"1";"0000-00-00 00:00:00"
"16451356";"16130481";"666";"1";"0000-00-00 00:00:00"
"16472310";"16042013";"666";"1";"0000-00-00 00:00:00"
"16472311";"16035135";"666";"1";"0000-00-00 00:00:00"
"16484121";"14591367";"666";"1";"0000-00-00 00:00:00"
"16519012";"16116088";"666";"1";"0000-00-00 00:00:00"
"16691824";"16535779";"666";"1";"0000-00-00 00:00:00"
"16691826";"16532140";"666";"1";"0000-00-00 00:00:00"
"16691827";"16532142";"666";"1";"0000-00-00 00:00:00"
"16713619";"16595530";"666";"1";"0000-00-00 00:00:00"
"16717645";"16508865";"666";"1";"0000-00-00 00:00:00"
"16717646";"16508867";"666";"1";"0000-00-00 00:00:00"
"16717647";"16508329";"666";"1";"0000-00-00 00:00:00"
"16717648";"16507377";"666";"1";"0000-00-00 00:00:00"
"16773341";"16521786";"666";"1";"0000-00-00 00:00:00"
"16773343";"16521789";"666";"1";"0000-00-00 00:00:00"
"16778976";"16045588";"666";"1";"0000-00-00 00:00:00"
"16855795";"16130481";"666";"1";"0000-00-00 00:00:00"
"16855798";"16116088";"666";"1";"0000-00-00 00:00:00"
"16866942";"16090924";"666";"1";"0000-00-00 00:00:00"
"16866944";"16042013";"666";"1";"0000-00-00 00:00:00"
"16866945";"16035135";"666";"1";"0000-00-00 00:00:00"
"16876963";"16094096";"666";"1";"0000-00-00 00:00:00"
"16879395";"16773595";"666";"1";"0000-00-00 00:00:00"
"16903491";"16800686";"666";"1";"0000-00-00 00:00:00"
"16907594";"16045588";"666";"1";"0000-00-00 00:00:00"
"16941936";"16773595";"666";"1";"0000-00-00 00:00:00"
"16991509";"16377223";"666";"1";"0000-00-00 00:00:00"
"16996353";"16890706";"666";"1";"0000-00-00 00:00:00"
