"pk_value";"tender_id";"field_id"
"12928238";"16757318";"48608"
"14869313";"16765068";"48338"
"9021562";"16800686";"47330"
"9107878";"16881567";"41862"
"12928423";"16896460";"48567"
"15597439";"16911769";"51925"
"13929053";"16911770";"48768"
"9351968";"16911785";"48467"
"6628927";"16925550";"47840"
"17373258";"16944497";"11625"
"1950883";"16968066";"1075"
"7387624";"16996778";"46056"
"6723454";"16998181";"22801"
"3669356";"17011469";"48402"
"2318817";"17026077";"14"
"2318818";"17026077";"1066"
"18763230";"17026077";"48527"
"3225109";"17049617";"14"
"3225110";"17049617";"1070"
"4460391";"17062268";"48592"
"6723591";"17067444";"39668"
"4218995";"17068411";"46007"
"4692791";"17074356";"45859"
"9352077";"17104469";"50619"
"10982408";"17124112";"48768"
"10982409";"17124112";"50619"
"16007434";"17143071";"48768"
"11521938";"17143080";"48768"
"2956110";"17182903";"14"
"5862300";"17184667";"48292"
"7572558";"17241452";"48533"
"7821162";"17241459";"48533"
"9631592";"17241479";"48533"
"3223056";"17245241";"3"
"3223057";"17245241";"22"
"4571751";"17248585";"48561"
"4571752";"17248585";"48562"
"12009749";"17340705";"45735"
"12009750";"17340705";"45821"
"12009751";"17340705";"45871"
"12009752";"17340705";"47966"
"12009753";"17340705";"47969"
"12009754";"17340705";"48205"
"12009755";"17340705";"48428"
"12009756";"17340705";"48435"
"12009757";"17340705";"48451"
"12009758";"17340705";"48467"
"8072551";"17342190";"11657"
"8072552";"17342190";"11664"
"8072553";"17342190";"11665"
"8072554";"17342190";"11666"
"8072550";"17342190";"11667"
"8072549";"17342190";"11668"
"8072555";"17342190";"11670"
"4009098";"17367434";"45972"
"4122414";"17368498";"48493"
"3564089";"17371838";"1003"
"3564090";"17371838";"1043"
"13223219";"17372021";"44393"
"10340072";"17399976";"47840"
"10340083";"17408696";"50426"
"3840367";"17420326";"1073"
"3840368";"17420326";"1145"
"7822309";"17433055";"48478"
"10726891";"17439485";"10833"
"10726914";"17439487";"8541"
"4619657";"17450357";"1127"
"15506042";"17455931";"45859"
"6314865";"17467950";"51932"
"13436237";"17482251";"45989"
"7301118";"17485601";"48353"
"17145106";"17537480";"11125"
"15004750";"17545410";"47786"
"8074307";"17555373";"45989"
"4881664";"17571982";"8"
"13350326";"17577297";"48478"
"11748518";"17577393";"45716"
"16099443";"17591496";"39481"
"16539750";"17601911";"51353"
