"record_id";"tender_id";"tag_id"
"881798976";"32518411";"2"
"882951353";"32522680";"2"
"882951340";"32522948";"2"
"887347046";"32559430";"2"
"887346873";"32562519";"2"
"890879533";"32600722";"2"
"891885182";"32609321";"2"
"891545829";"32610208";"2"
"892225867";"32624883";"2"
"894516255";"32637368";"2"
"893882148";"32644928";"2"
"894192932";"32664044";"2"
"894192927";"32664105";"2"
"894192928";"32664106";"2"
"904667305";"32703247";"2"
"905330857";"32716182";"2"
"906030461";"32727162";"2"
"907018469";"32736700";"2"
"907329778";"32740080";"2"
"907329660";"32742329";"2"
"907646560";"32748387";"2"
"907974133";"32754021";"2"
"907974076";"32755225";"2"
"907973964";"32756698";"2"
"907973937";"32756944";"2"
"908306953";"32758508";"2"
"909522490";"32769261";"2"
"909522232";"32773206";"2"
"910144829";"32780447";"2"
"910144793";"32781565";"2"
"910144689";"32784566";"2"
"911088496";"32790761";"2"
"911686141";"32796697";"2"
"911686015";"32798986";"2"
"911685842";"32801329";"2"
"913337837";"32818339";"2"
"920622368";"32835829";"2"
"920934476";"32844861";"2"
"923160420";"32892018";"2"
"923160067";"32903944";"2"
"926080859";"32988731";"2"
"926080838";"32988928";"2"
"926080783";"32992185";"2"
"927687715";"33041799";"2"
"934466453";"33141783";"2"
"935180737";"33160377";"2"
"936887395";"33207023";"2"
"942252747";"33359503";"2"
"944791201";"33429989";"2"
"951798928";"33504146";"2"
"952174219";"33526711";"2"
"956241580";"33643350";"2"
"956958200";"33664494";"2"
"956958145";"33669577";"2"
"957722325";"33703685";"2"
"957333911";"33703831";"2"
"957722252";"33711158";"2"
"959929886";"33797049";"2"
"960322836";"33809233";"2"
"960720782";"33815920";"2"
"961465555";"33828573";"2"
"962197141";"33870111";"2"
"973639537";"34174832";"2"
"975551986";"34223814";"2"
"978238323";"34303099";"2"
"978621712";"34310619";"2"
"979013146";"34323393";"2"
"980146787";"34350911";"2"
"981643060";"34419924";"2"
"987626386";"34442283";"2"
"988345202";"34462190";"2"
"988344890";"34472638";"2"
"988720169";"34479339";"2"
"993086818";"34592646";"2"
"993812186";"34623310";"2"
"994192647";"34638228";"2"
